Wavelength,Carbonate (McArthur Basin KG-92-27),Calcite (JB-JLB-549),Calcite (GR-CMP-001),Dolomite (SH-SJG-079),Muscovite (GDS114),Muscovite (GDS120),Kaolinite (KGA-1),Montmorillonite (SAZ-1),Quartz (DH-MBW-003),Quartz (GDS74 Sand Ottowa),"Kerogen (PPRG114, H:C = 0.8)",Kerogen ?,Sap (JB-JLB-B84-A),Illite (Imt-1),Biotite H2S8 (USGS)
1.7020000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
1.7030000,1.0000000,0.9999999,0.9999457,0.9999220,0.9999958,1.0000000,1.0000000,1.0000000,0.9999812,1.0000000,1.0000000,0.9977224,0.9999898,1.0000000,1.0000000
1.7040000,0.9999663,0.9999998,0.9999388,0.9999507,0.9999874,0.9999949,1.0000000,0.9999690,0.9999624,1.0000000,0.9985002,1.0000000,0.9999883,0.9999975,0.9997349
1.7050000,0.9999577,0.9999997,0.9999664,0.9999593,0.9999382,0.9999774,0.9999520,0.9999749,0.9999437,0.9996753,0.9971345,0.9947231,0.9999792,0.9999377,0.9996864
1.7060000,0.9999897,0.9999992,0.9999838,0.9998436,0.9999269,1.0000000,1.0000000,1.0000000,0.9999250,0.9993352,0.9994262,0.9957284,0.9999798,0.9998832,0.9998236
1.7070000,0.9999902,0.9999985,0.9999745,0.9997673,0.9999507,0.9999936,0.9999503,0.9999883,0.9999061,0.9996666,0.9995665,0.9982034,1.0000000,0.9999476,0.9998679
1.7080000,0.9999683,0.9999980,0.9999483,0.9998273,0.9999453,0.9999665,0.9999575,0.9999735,0.9998874,0.9993831,0.9991429,0.9985622,1.0000000,0.9998517,1.0000000
1.7090000,0.9999464,0.9999974,0.9999466,0.9999279,0.9998942,0.9999799,0.9999844,0.9999724,0.9998687,0.9994446,0.9993820,0.9986066,0.9999904,1.0000000,0.9997972
1.7100000,0.9999397,0.9999968,0.9999909,0.9998816,0.9998644,0.9999861,0.9999976,0.9999816,0.9998499,0.9993973,0.9969806,0.9932732,0.9999928,0.9999540,0.9999397
1.7110000,0.9999188,0.9999974,0.9999762,0.9995906,0.9998802,0.9999645,0.9999914,0.9999858,0.9998633,0.9996958,0.9973557,0.9960211,0.9999778,0.9998613,0.9999468
1.7120000,0.9998947,0.9999981,0.9999303,0.9994959,0.9999181,0.9999526,0.9999729,0.9999968,0.9998767,0.9999426,0.9967305,0.9979619,0.9999780,1.0000000,0.9999453
1.7130000,0.9999193,0.9999987,0.9999443,0.9995648,0.9999120,0.9999470,0.9999691,0.9999919,0.9998900,0.9997441,1.0000000,0.9972192,0.9999847,0.9998948,0.9997989
1.7140000,0.9998980,0.9999994,0.9999730,0.9996542,0.9998696,0.9999597,0.9999672,0.9999946,0.9999035,0.9995050,0.9984655,0.9975614,1.0000000,0.9998024,0.9999375
1.7150000,0.9999052,1.0000000,0.9999828,0.9996810,0.9998488,0.9999368,0.9999898,1.0000000,0.9999168,0.9993370,0.9968244,0.9947754,0.9999688,0.9996930,0.9999689
1.7160000,0.9998653,0.9999981,0.9999732,0.9997072,0.9998283,0.9999281,0.9999561,0.9999960,0.9999302,0.9992474,0.9972311,0.9933648,0.9999496,0.9999198,0.9998105
1.7170000,0.9998451,0.9999961,0.9999717,0.9997733,0.9998439,0.9999128,0.9999552,0.9999707,0.9999436,0.9993209,0.9956102,0.9943807,0.9999379,0.9998316,1.0000000
1.7180000,0.9998291,0.9999941,0.9999924,0.9998321,0.9998151,0.9999590,0.9999933,0.9999756,0.9999570,0.9993474,0.9971383,0.9934014,0.9999696,0.9998824,0.9997936
1.7190000,0.9998528,0.9999922,1.0000000,0.9998044,0.9998040,0.9999348,0.9999629,0.9999779,0.9999703,0.9998435,0.9963070,0.9949999,0.9999611,0.9999183,0.9997162
1.7200000,0.9998284,0.9999902,0.9999394,0.9997002,0.9998030,0.9998998,0.9999569,0.9999822,0.9999838,0.9997538,0.9947833,0.9952443,0.9999137,0.9997368,0.9997105
1.7210000,0.9998023,0.9999917,0.9999285,0.9996143,0.9997867,0.9999024,0.9999263,0.9999944,0.9999760,0.9999230,0.9950873,0.9946292,0.9999042,0.9997632,0.9996453
1.7220000,0.9997917,0.9999932,0.9999512,0.9995160,0.9997348,0.9999175,0.9999394,0.9999856,0.9999684,1.0000000,0.9969041,0.9963519,0.9999445,0.9998341,0.9996627
1.7230000,0.9997588,0.9999948,0.9999489,0.9995366,0.9997117,0.9999109,0.9998774,0.9999909,0.9999608,0.9998230,1.0000000,0.9958647,0.9999513,0.9997247,0.9996752
1.7240000,0.9997602,0.9999963,0.9999430,0.9995916,0.9998062,0.9999318,0.9998829,0.9999810,0.9999532,0.9995207,0.9987968,0.9932359,0.9999667,0.9997023,0.9998247
1.7250000,0.9997225,0.9999978,0.9999493,0.9995674,0.9997498,0.9998792,0.9998873,0.9999833,0.9999454,0.9996289,0.9996767,0.9944779,0.9999561,0.9996641,0.9997511
