Wavelength,1TB,2TB,3TB_1,3TB_2,4TB,5TB,6TB,7TB,8TB,9TB,11TB,12TB,13TB,14TB,15TB,16TB,17TB,18TB,19TB,20TB,21TB,22TB,23TB,24TB,25TB,26aTB,26bTB,27aTB,28TB,29TB
1.70200000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
1.70300000,0.99999597,0.99996635,1.00000000,0.99996145,0.99999341,0.99994731,0.99993400,0.99999911,0.99993199,0.99999912,0.99997425,0.99998642,0.99995276,0.99991681,0.99994927,0.99994440,0.99999395,0.99997939,1.00000000,1.00000000,0.99999028,1.00000000,1.00000000,0.99997537,0.99992763,1.00000000,1.00000000,0.99998440,0.99999749,0.99998134
1.70400000,0.99998792,0.99999516,0.99998345,1.00000000,1.00000000,0.99989462,0.99998793,0.99995787,0.99993136,0.99996609,0.99994448,1.00000000,0.99996031,0.99971494,1.00000000,1.00000000,0.99997178,0.99998286,0.99997277,0.99999844,0.99997554,0.99996643,0.99997704,0.99991316,0.99987954,0.99997355,0.99998382,0.99998893,1.00000000,0.99998386
1.70500000,1.00000000,0.99997260,0.99999335,1.00000000,0.99998232,0.99991780,0.99991278,0.99998422,0.99992973,0.99994511,0.99995389,0.99994865,0.99994149,0.99959221,0.99996821,0.99993877,0.99997581,0.99998733,0.99995059,0.99995955,0.99997084,0.99998607,0.99993695,0.99990377,0.99986585,0.99994810,0.99997466,0.99997433,0.99996975,0.99997025
1.70600000,0.99998795,0.99999436,0.99998800,0.99998524,0.99996565,0.99991468,0.99992809,0.99993793,0.99993313,0.99997639,0.99995929,0.99996466,0.99996832,0.99946636,0.99998309,0.99990382,1.00000000,0.99998177,0.99998588,0.99999532,0.99999327,0.99996755,0.99988276,0.99985375,0.99982383,0.99994280,0.99998155,1.00000000,0.99997160,1.00000000
1.70700000,0.99997187,1.00000000,0.99993178,0.99994107,0.99993986,0.99992066,0.99994136,0.99992897,0.99993552,0.99993933,0.99997171,0.99993845,0.99990180,0.99939153,0.99991478,0.99996490,0.99997374,0.99996517,0.99997479,0.99989994,0.99997652,0.99997916,0.99986383,0.99989107,0.99978789,0.99991836,0.99997540,0.99996917,0.99995841,0.99998911
1.70800000,0.99993968,0.99990268,0.99996202,0.99997399,0.99997992,0.99990237,0.99998208,0.99996339,0.99995401,0.99995152,0.99997007,0.99997055,0.99989819,0.99935210,0.99992256,0.99995219,0.99994648,0.99996262,0.99997983,0.99991452,0.99997986,0.99998273,0.99988923,0.99989183,0.99978634,0.99992514,0.99997727,0.99997256,0.99998133,0.99997721
1.70900000,0.99996388,0.99995547,0.99998617,0.99998256,0.99995616,0.99988812,0.99997706,0.99999579,0.99996243,0.99994260,0.99998250,0.99997048,0.99985907,0.99921274,0.99996280,0.99992634,0.99995549,0.99998916,1.00000000,0.99997450,0.99997115,0.99998430,0.99984310,0.99988549,0.99980097,0.99992991,0.99997312,0.99997595,0.99995510,0.99997136
1.71000000,0.99998405,0.99996192,0.99994520,0.99993433,0.99994861,0.99991737,0.99992529,0.99999691,0.99994572,1.00000000,0.99998086,0.99997745,0.99988591,0.99921600,0.99995130,0.99990150,0.99998164,0.99999262,0.99998658,0.99992855,0.99997851,0.99996880,0.99983223,0.99987812,0.99973974,0.99994878,0.99997700,0.99999948,0.99998103,0.99998064
1.71100000,0.99997502,0.99997038,0.99997748,0.99993479,0.99996537,0.99992841,0.99993247,0.99998392,0.99993906,0.99997772,0.99999529,0.99992408,0.99988636,0.99909851,0.99993372,0.99997168,0.99996143,0.99997603,0.99996408,0.99996533,0.99997281,0.99995631,0.99985360,0.99982506,0.99970784,0.99989312,0.99998088,0.99999180,0.99994576,1.00000000
